Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO00121,8.26219,8.19626,8.40723,8.11715,8.57865,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00122,7,#NAME?,7.06593,#NAME?,7.11867,Y,Y,Y,N,0.31232,0,N,N,1,0
LOGZ,ECO00122,8.39405,8.30834,8.57865,8.23582,8.67095,Y,Y,N,N,0,0,N,N,1,157
LOGQ,ECO00124,7.56039,7.50106,7.67906,7.44172,7.77796,Y,Y,N,N,0,0,N,N,1,85
LOGZ,ECO00124,8.26219,8.18307,8.3479,8.11715,8.45338,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00125,7.23734,7.1846,7.38238,7.11867,7.48787,Y,Y,N,N,0.00001,0,N,N,2,36
LOGZ,ECO00125,8.26219,8.249,8.47316,8.17648,8.6248,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00127,7.25712,7.19119,7.43513,7.11208,7.5538,Y,Y,N,N,0.00006,0,N,N,2,39
LOGZ,ECO00127,8.38745,8.32152,8.57865,8.249,8.69732,Y,Y,N,N,0,0,N,N,1,156
LOGQ,ECO00131,7.40216,7.31646,7.54721,7.22416,7.69225,Y,Y,N,N,0,0,N,N,1,61
LOGZ,ECO00131,8.36767,8.30175,8.54568,8.22263,8.67095,Y,Y,N,N,0,0,N,N,1,153
LOGQ,ECO00135,7.27031,7.24394,7.3692,7.19779,7.42194,Y,Y,N,N,0,0,N,N,2,41
LOGZ,ECO00135,8.26219,8.24241,8.3413,8.19626,8.42701,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00137,7.65928,7.58676,7.71862,7.52743,7.77796,Y,Y,N,N,0,0,N,N,1,100
LOGZ,ECO00137,8.26219,8.18307,8.28197,8.11715,8.32812,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00139,7.66588,7.59336,7.72521,7.54061,7.77796,Y,Y,N,N,0,0,N,N,1,101
LOGZ,ECO00139,8.26219,8.19626,8.28197,8.13033,8.32812,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00140,7.38898,7.32964,7.48787,7.25712,7.58676,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00140,8.26219,8.20285,8.40723,8.13033,8.55887,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00141,7.34283,7.26371,7.39557,7.21756,7.44831,Y,Y,N,N,0,0,N,N,2,52
LOGZ,ECO00141,8.26219,8.22922,8.32152,8.17648,8.39405,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00142,7.50765,7.45491,7.59995,7.40876,7.70543,Y,Y,N,N,0,0,N,N,1,77
LOGZ,ECO00142,8.26219,8.20945,8.3413,8.14352,8.45338,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00145,7.27031,7.21756,7.40876,7.15823,7.52083,Y,Y,N,N,0,0,N,N,2,41
LOGZ,ECO00145,8.2556,8.09078,8.30175,7.99848,8.46657,Y,Y,N,N,0,0,N,N,1,136
LOGQ,ECO00146,7.13845,7.0923,7.25053,7.03956,7.35601,Y,Y,N,N,0.00191,0,N,N,1,21
LOGZ,ECO00146,8.3413,8.28856,8.48635,8.22922,8.6248,Y,Y,N,N,0,0,N,N,1,149
LOGQ,ECO00147,7.24394,7.21097,7.38238,7.15823,7.4615,Y,Y,N,N,0,0,N,N,2,37
LOGZ,ECO00147,8.33471,8.28856,8.50612,8.23582,8.6182,Y,Y,N,N,0,0,N,N,1,148
LOGQ,ECO00148,7.24394,7.19119,7.39557,7.13186,7.51424,Y,Y,N,N,0,0,N,N,1,37
LOGZ,ECO00148,8.29515,8.2556,8.45338,8.18967,8.61161,Y,Y,N,N,0,0,N,N,1,142
LOGQ,ECO00150,7.34283,7.22416,7.43513,7.15164,7.54061,Y,Y,N,N,0,0,N,N,2,52
LOGZ,ECO00150,8.36767,8.30834,8.54568,8.23582,8.66435,Y,Y,N,N,0,0,N,N,1,153
LOGQ,ECO00151,7.19779,7.13186,7.35601,7.06593,7.52743,Y,Y,N,N,0.00116,0,N,N,1,30
LOGZ,ECO00151,8.22263,8.11055,8.35449,8.01825,8.60502,Y,Y,N,N,0,0,N,N,1,131
LOGQ,ECO00152,7.38898,7.34283,7.44172,7.30327,7.49446,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00152,8.26219,8.22922,8.32152,8.18307,8.39405,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00153,7.34942,7.26371,7.42853,7.20438,7.52083,Y,Y,N,N,0,0,N,N,1,53
LOGZ,ECO00153,8.26219,8.16989,8.3413,8.09078,8.49294,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00154,7.42194,7.36261,7.52083,7.30327,7.63291,Y,Y,N,N,0,0,N,N,1,64
LOGZ,ECO00154,8.26219,8.19626,8.38745,8.12374,8.54568,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00155,7.40876,7.36261,7.47468,7.31646,7.53402,Y,Y,N,N,0,0,N,N,1,62
LOGZ,ECO00155,8.26219,8.24241,8.36767,8.19626,8.45997,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00158,7.3692,7.30986,7.42853,7.25053,7.48787,Y,Y,N,N,0,0,N,N,1,56
LOGZ,ECO00158,8.26219,8.24241,8.37427,8.19626,8.46657,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00159,7.24394,7.17801,7.44172,7.10549,7.63951,Y,Y,N,N,0.00009,0,N,N,1,37
LOGZ,ECO00159,8.28197,8.22263,8.49953,8.13692,8.68413,Y,Y,N,N,0,0,N,N,1,140
LOGQ,ECO00160,7.33623,7.25712,7.38238,7.21097,7.44172,Y,Y,N,N,0,0,N,N,2,51
LOGZ,ECO00160,8.26219,8.24241,8.3413,8.20285,8.42042,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00161,7.15164,7.10549,7.24394,7.05934,7.34283,Y,Y,N,N,0.00036,0,N,N,1,23
LOGZ,ECO00161,8.31493,8.27537,8.48635,8.22263,8.61161,Y,Y,N,N,0,0,N,N,1,145
LOGQ,ECO00162,7.3692,7.30986,7.44831,7.24394,7.53402,Y,Y,N,N,0,0,N,N,1,56
