Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO07355,7.08414,7.04843,7.33414,-inf,7.51271,Y,Y,N,N,0.14176,0.00000,N,N,1,3
LOGZ,ECO07355,-0.45096,-0.51635,-0.18940,-0.61443,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO07364,7.04843,7.01271,7.29843,-inf,7.47700,Y,Y,Y,N,0.22793,0.00000,N,N,1,2
LOGZ,ECO07364,-0.35287,-0.41826,-0.15670,-0.51635,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO07365,7.15557,7.08414,7.29843,7.01271,7.40557,Y,Y,N,N,0.05132,0.00000,N,N,1,5
LOGZ,ECO07365,-0.41826,-0.51635,-0.25479,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO07373,7.33414,7.22700,7.47700,7.15557,7.65557,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO07373,-0.58174,-0.67982,-0.41826,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO07374,7.11986,7.04843,7.29843,7.01271,7.44129,Y,Y,N,N,0.05693,0.00000,N,N,1,4
LOGZ,ECO07374,-0.58174,-0.64713,-0.38557,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO07381,7.01271,-inf,7.26271,-inf,7.40557,Y,Y,Y,N,0.31709,0.00000,N,N,1,1
LOGZ,ECO07381,-0.38557,-0.48365,-0.18940,-0.54904,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO07386,7.19129,7.11986,7.36986,7.04843,7.51271,Y,Y,N,N,0.01531,0.00000,N,N,1,6
LOGZ,ECO07386,-0.45096,-0.51635,-0.25479,-0.61443,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO07409,7.04843,7.01271,7.51271,-inf,7.65557,Y,Y,Y,N,0.17188,0.00000,N,N,2,2
LOGZ,ECO07409,-0.45096,-0.51635,-0.02592,-0.58174,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,2,26
LOGQ,ECO07415,7.15557,7.08414,7.33414,7.01271,7.51271,Y,Y,N,N,0.05115,0.00000,N,N,1,5
LOGZ,ECO07415,-0.54904,-0.61443,-0.35287,-0.67982,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO07416,7.26271,7.15557,7.40557,7.08414,7.51271,Y,Y,N,N,0.00223,0.00000,N,N,1,8
LOGZ,ECO07416,-0.41826,-0.51635,-0.25479,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO07417,6.97700,-inf,7.19129,-inf,7.33414,Y,Y,Y,N,0.36110,0.00000,N,N,1,0
LOGZ,ECO07417,-0.02592,-0.12401,0.07216,-0.22209,0.17025,Y,Y,N,N,0.00000,0.00264,N,N,1,39
LOGQ,ECO07421,7.01271,7.01271,7.22700,-inf,7.36986,Y,Y,Y,N,0.32325,0.00000,N,N,1,1
LOGZ,ECO07421,-0.38557,-0.48365,-0.18940,-0.54904,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO07430,6.97700,7.01271,7.26271,-inf,7.44129,N,Y,Y,N,0.27784,0.00000,N,N,1,0
LOGZ,ECO07430,-0.05862,-0.28748,0.03947,-0.38557,0.13755,Y,Y,N,N,0.00000,0.00022,N,N,1,38
LOGQ,ECO07432,7.29843,7.22700,7.44129,7.15557,7.58414,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,ECO07432,-0.58174,-0.67982,-0.41826,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO07435,7.19129,7.11986,7.36986,7.04843,7.51271,Y,Y,N,N,0.00723,0.00000,N,N,1,6
LOGZ,ECO07435,-0.48365,-0.58174,-0.28748,-0.64713,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,25
