Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO11662,-0.48365,-0.54904,-0.32018,-0.61443,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO11663,7.33414,7.26271,7.54843,7.19129,7.72700,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO11663,-0.58174,-0.64713,-0.38557,-0.71252,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO11665,6.97700,7.01271,7.26271,-inf,7.44129,N,Y,Y,N,0.27462,0.00000,N,N,1,0
LOGZ,ECO11665,-0.12401,-0.32018,-0.05862,-0.41826,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,36
LOGQ,ECO11666,7.40557,7.15557,7.61986,-inf,7.79843,Y,Y,N,N,0.05034,0.00000,N,N,2,12
LOGZ,ECO11666,0.13755,-0.05862,0.20294,-0.32018,0.26833,Y,Y,N,N,0.00000,0.03916,N,N,1,44
LOGQ,ECO11668,7.40557,7.19129,7.54843,7.01271,7.65557,Y,Y,N,N,0.02741,0.00000,N,N,1,12
LOGZ,ECO11668,0.13755,0.00677,0.20294,-0.12401,0.23564,Y,Y,N,N,0.00000,0.01270,N,N,1,44
LOGQ,ECO11671,6.97700,7.04843,7.54843,-inf,7.83414,N,Y,Y,N,0.15423,0.00000,N,N,2,0
LOGZ,ECO11671,0.00677,-0.32018,0.10486,-0.45096,0.20294,Y,Y,N,N,0.00000,0.00582,N,N,1,40
LOGQ,ECO11674,7.08414,7.01271,7.19129,-inf,7.26271,Y,Y,N,N,0.27147,0.00000,N,N,1,3
LOGZ,ECO11674,-0.15670,-0.22209,-0.09131,-0.25479,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,ECO11676,7.01271,-inf,7.26271,-inf,7.44129,Y,Y,Y,N,0.33993,0.00000,N,N,1,1
LOGZ,ECO11676,-0.28748,-0.38557,-0.12401,-0.48365,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,ECO11677,7.15557,7.11986,7.33414,7.04843,7.44129,Y,Y,N,N,0.01195,0.00000,N,N,1,5
LOGZ,ECO11677,-0.54904,-0.64713,-0.38557,-0.71252,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO11679,7.11986,7.04843,7.26271,-inf,7.40557,Y,Y,N,N,0.12773,0.00000,N,N,1,4
LOGZ,ECO11679,-0.45096,-0.54904,-0.28748,-0.61443,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO11680,7.44129,7.19129,7.54843,7.04843,7.69129,Y,Y,N,N,0.01981,0.00000,N,N,1,13
LOGZ,ECO11680,0.17025,0.03947,0.20294,-0.05862,0.23564,Y,Y,N,N,0.00000,0.02077,N,N,1,45
LOGQ,ECO11682,6.97700,7.01271,7.36986,-inf,7.61986,N,Y,Y,N,0.25600,0.00000,N,N,1,0
LOGZ,ECO11682,-0.02592,-0.28748,0.07216,-0.45096,0.17025,Y,Y,N,N,0.00000,0.00306,N,N,1,39
LOGQ,ECO11685,7.15557,7.01271,7.29843,-inf,7.44129,Y,Y,N,N,0.18662,0.00000,N,N,2,5
LOGZ,ECO11685,-0.02592,-0.18940,0.07216,-0.32018,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,ECO11689,6.97700,7.01271,7.33414,-inf,7.51271,N,Y,Y,N,0.24703,0.00000,N,N,1,0
LOGZ,ECO11689,-0.02592,-0.32018,0.03947,-0.45096,0.13755,Y,Y,N,N,0.00000,0.00002,N,N,1,39
