Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO11491,0.00000,-inf,0.10204,-inf,0.22449,Y,Y,Y,N,0.46769,0.00003,N,N,1,0
LOGQ,ECO11491,7.29843,7.11986,7.47700,7.01271,7.76271,Y,Y,N,N,0.04620,0.00001,N,N,1,9
LOGZ,ECO11491,0.26833,0.13755,inf,0.00677,inf,Y,Y,N,Y,0.00000,0.41211,N,N,1,48
AGNFRAC,ECO11493,0.00000,-inf,0.22449,-inf,0.44898,Y,Y,Y,N,0.29822,0.00033,N,N,1,0
LOGQ,ECO11493,7.33414,7.04843,7.54843,-inf,7.90557,Y,Y,N,N,0.11904,0.00001,N,N,2,10
LOGZ,ECO11493,-0.05862,-0.32018,0.13755,-0.45096,inf,Y,Y,N,N,0.00000,0.05432,N,N,3,38
AGNFRAC,ECO11495,0.00000,-inf,0.12245,-inf,0.24490,Y,Y,Y,N,0.42404,0.00003,N,N,1,0
LOGQ,ECO11495,7.33414,7.15557,7.51271,7.01271,7.79843,Y,Y,N,N,0.03210,0.00001,N,N,1,10
LOGZ,ECO11495,0.23564,0.10486,inf,-0.02592,inf,Y,Y,N,Y,0.00000,0.36801,N,N,1,47
AGNFRAC,ECO11497,0.00000,0.02041,0.26531,-inf,0.40816,N,Y,Y,N,0.21808,0.00015,N,N,2,0
LOGQ,ECO11497,7.69129,7.47700,7.94129,7.08414,8.22700,Y,Y,N,N,0.01733,0.00047,N,N,2,20
LOGZ,ECO11497,0.30103,-0.02592,0.26833,-0.38557,inf,N,Y,N,Y,0.00000,0.23111,N,N,3,49
AGNFRAC,ECO11500,0.00000,0.02041,0.26531,-inf,0.55102,N,Y,Y,N,0.26181,0.00073,N,N,1,0
LOGQ,ECO11500,7.01271,7.01271,7.51271,-inf,7.86986,Y,Y,Y,N,0.24658,0.00003,N,N,1,1
LOGZ,ECO11500,-0.48365,-0.54904,-0.05862,-0.61443,0.23564,Y,Y,N,N,0.00000,0.02093,N,N,3,25
AGNFRAC,ECO11504,1.00000,0.77551,0.97959,0.65306,inf,N,Y,N,Y,0.00000,0.21211,N,N,1,49
LOGQ,ECO11504,7.61986,7.51271,7.79843,7.40557,7.94129,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,ECO11504,-0.12401,-0.22209,0.00677,-0.28748,0.10486,Y,Y,N,N,0.00000,0.00052,N,N,1,36
AGNFRAC,ECO11507,0.00000,0.02041,0.30612,-inf,0.61224,N,Y,Y,N,0.21221,0.00102,N,N,1,0
LOGQ,ECO11507,7.08414,7.04843,7.44129,-inf,7.83414,Y,Y,N,N,0.15647,0.00002,N,N,1,3
LOGZ,ECO11507,-0.45096,-0.51635,-0.18940,-0.61443,0.13755,Y,Y,N,N,0.00000,0.00963,N,N,2,26
AGNFRAC,ECO11510,0.00000,-inf,0.20408,-inf,0.38776,Y,Y,Y,N,0.33427,0.00020,N,N,1,0
LOGQ,ECO11510,6.97700,7.04843,7.54843,-inf,7.83414,N,Y,Y,N,0.12435,0.00001,N,N,2,0
LOGZ,ECO11510,0.07216,-0.32018,0.20294,-0.45096,inf,Y,Y,N,N,0.00000,0.08850,N,N,3,42
AGNFRAC,ECO11513,0.00000,0.02041,0.34694,-inf,0.67347,N,Y,Y,N,0.19145,0.00149,N,N,1,0
LOGQ,ECO11513,7.22700,7.15557,7.90557,7.04843,8.36986,Y,Y,N,N,0.02294,0.00207,N,N,2,7
LOGZ,ECO11513,-0.58174,-0.64713,-0.02592,-0.71252,0.26833,Y,Y,N,N,0.00000,0.03101,N,N,3,22
AGNFRAC,ECO11517,0.20408,0.12245,0.51020,0.02041,0.81633,Y,Y,N,N,0.03102,0.00384,N,N,1,10
LOGQ,ECO11517,7.19129,7.08414,7.44129,-inf,7.79843,Y,Y,N,N,0.07280,0.00000,N,N,1,6
LOGZ,ECO11517,-0.35287,-0.45096,-0.12401,-0.51635,0.13755,Y,Y,N,N,0.00000,0.00687,N,N,1,29
AGNFRAC,ECO11529,0.32653,0.22449,0.65306,0.12245,0.89796,Y,Y,N,N,0.00168,0.00850,N,N,1,16
LOGQ,ECO11529,7.47700,7.33414,7.94129,7.19129,8.26271,Y,Y,N,N,0.00068,0.00011,N,N,1,14
LOGZ,ECO11529,-0.25479,-0.32018,0.07216,-0.41826,0.23564,Y,Y,N,N,0.00000,0.02482,N,N,1,32
AGNFRAC,ECO11533,0.00000,-inf,0.14286,-inf,0.26531,Y,Y,Y,N,0.37970,0.00007,N,N,1,0
LOGQ,ECO11533,7.36986,7.19129,7.54843,7.01271,7.83414,Y,Y,N,N,0.02995,0.00002,N,N,1,11
LOGZ,ECO11533,0.23564,0.07216,0.26833,-0.15670,inf,Y,Y,N,Y,0.00000,0.29163,N,N,1,47
AGNFRAC,ECO11551,0.00000,-inf,0.10204,-inf,0.20408,Y,Y,Y,N,0.49652,0.00005,N,N,1,0
LOGQ,ECO11551,7.51271,7.26271,7.69129,7.08414,7.90557,Y,Y,N,N,0.01363,0.00003,N,N,1,15
LOGZ,ECO11551,0.30103,0.13755,inf,-0.02592,inf,Y,Y,N,Y,0.00000,0.53928,N,Y,2,49
AGNFRAC,ECO11552,0.00000,0.02041,0.24490,-inf,0.48980,N,Y,Y,N,0.25909,0.00053,N,N,1,0
LOGQ,ECO11552,6.97700,-inf,7.26271,-inf,7.47700,Y,Y,Y,N,0.36512,0.00000,N,N,1,0
LOGZ,ECO11552,-0.35287,-0.45096,-0.12401,-0.51635,0.13755,Y,Y,N,N,0.00000,0.00666,N,N,1,29
AGNFRAC,ECO11557,0.00000,0.02041,0.28571,-inf,0.61224,N,Y,Y,N,0.23043,0.00111,N,N,1,0
LOGQ,ECO11557,7.01271,-inf,7.33414,-inf,7.65557,Y,Y,Y,N,0.31561,0.00000,N,N,1,1
LOGZ,ECO11557,-0.48365,-0.58174,-0.25479,-0.64713,0.10486,Y,Y,N,N,0.00000,0.00770,N,N,2,25
AGNFRAC,ECO11559,0.00000,-inf,0.14286,-inf,0.30612,Y,Y,Y,N,0.38834,0.00013,N,N,1,0
