Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO02045,8.13144,8.04573,8.28307,7.94684,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,3,102
LOGQ,ECO02046,7.27227,7.14984,7.38749,7.05622,7.52433,Y,Y,N,N,0.00096,0.00000,N,N,1,41
LOGZ,ECO02046,8.45449,8.40175,8.55997,8.32263,8.69842,Y,Y,N,N,0.00000,0.00000,N,N,1,151
LOGQ,ECO02047,6.97700,6.99860,7.44511,-inf,7.65395,N,Y,Y,N,0.08716,0.00000,N,N,1,0
LOGZ,ECO02047,8.31604,8.26989,8.83028,8.19737,8.95554,Y,Y,N,N,0.00000,0.00000,N,N,3,130
LOGQ,ECO02048,7.07782,7.04181,7.27227,6.99140,7.55313,Y,Y,N,N,0.01683,0.00000,N,N,1,14
LOGZ,ECO02048,8.27648,8.20396,8.38856,8.13803,8.67205,Y,Y,N,N,0.00000,0.00000,N,N,1,124
LOGQ,ECO02049,7.07782,7.04902,7.32988,6.99860,7.59634,Y,Y,N,N,0.01242,0.00000,N,N,1,14
LOGZ,ECO02049,8.28307,8.21715,8.40834,8.15122,8.70502,Y,Y,N,N,0.00000,0.00000,N,N,2,125
LOGQ,ECO02050,7.02021,6.99860,7.14264,-inf,7.27947,Y,Y,N,N,0.07670,0.00000,N,N,1,6
LOGZ,ECO02050,8.23693,8.14463,8.35560,8.06551,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO02053,7.21465,7.14264,7.43070,7.07782,7.76198,Y,Y,N,N,0.00003,0.00000,N,N,1,33
LOGZ,ECO02053,8.20396,8.14463,8.36878,8.07870,8.75776,Y,Y,N,N,0.00000,0.00000,N,N,1,113
LOGQ,ECO02054,6.97700,6.99140,7.15704,-inf,7.32268,N,Y,Y,N,0.11962,0.00000,N,N,1,0
LOGZ,ECO02054,8.37537,8.30945,8.55338,8.24352,8.69183,Y,Y,N,N,0.00000,0.00000,N,N,2,139
LOGQ,ECO02056,7.85560,7.75478,8.09326,7.64675,8.35972,Y,Y,N,N,0.00000,0.00001,N,N,1,122
LOGZ,ECO02056,8.10507,8.04573,8.32263,7.96662,8.48745,Y,Y,N,N,0.00000,0.00000,N,N,1,98
LOGQ,ECO02057,7.06342,7.03461,7.20025,6.99140,7.32988,Y,Y,N,N,0.01630,0.00000,N,N,1,12
LOGZ,ECO02057,8.36219,8.28307,8.44790,8.22374,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,ECO02058,7.24346,7.17144,7.36589,7.11383,7.49552,Y,Y,N,N,0.00000,0.00000,N,N,2,37
LOGZ,ECO02058,8.36878,8.26330,8.44130,8.19737,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,138
LOGQ,ECO02059,7.14984,7.10663,7.28667,7.05622,7.41630,Y,Y,N,N,0.00003,0.00000,N,N,1,24
LOGZ,ECO02059,8.28967,8.22374,8.40834,8.15122,8.52701,Y,Y,N,N,0.00000,0.00000,N,N,1,126
LOGQ,ECO02060,7.44511,7.38749,7.59634,7.32268,7.76918,Y,Y,N,N,0.00000,0.00000,N,N,1,65
LOGZ,ECO02060,8.16440,8.08529,8.30285,8.01936,8.45449,Y,Y,N,N,0.00000,0.00000,N,N,1,107
LOGQ,ECO02061,7.28667,7.22906,7.44511,7.15704,7.63955,Y,Y,N,N,0.00000,0.00000,N,N,1,43
