Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oiii5007,ECO00025,Y,1.93463,1.64430,4.97633,33.16101
oi6300,ECO00025,Y,0.01406,0.04366,-1.03361,0.49095
nii6548,ECO00025,Y,0.08309,0.08267,0.05039,9.91835
halpha,ECO00025,Y,2.86000,2.80600,1.07837,57.11636
nii6584,ECO00025,Y,0.25039,0.24369,0.26513,9.90910
sii6717,ECO00025,Y,0.48919,0.33989,5.11237,16.75123
sii6731,ECO00025,Y,0.33013,0.25876,2.51046,11.61231
hbeta,ECO00027,Y,1.00000,1.00000,0.00000,89.36299
oiii4959,ECO00027,Y,0.88834,0.63038,24.00547,82.66893
oiii5007,ECO00027,Y,2.67665,1.88079,40.05403,134.71012
oi6300,ECO00027,Y,0.08201,0.04209,8.04910,16.53625
nii6548,ECO00027,Y,0.07055,0.08664,-9.14130,40.07881
halpha,ECO00027,Y,2.86000,2.80274,2.89959,144.83978
nii6584,ECO00027,Y,0.21223,0.25540,-8.13098,39.97222
sii6717,ECO00027,Y,0.38804,0.33835,7.17839,56.04841
sii6731,ECO00027,Y,0.26440,0.25753,1.01995,39.23674
hbeta,ECO00028,Y,1.00000,1.00000,0.00000,19.67070
oiii4959,ECO00028,Y,0.62319,0.50672,2.61025,13.96634
oiii5007,ECO00028,Y,1.95882,1.51181,7.78166,34.09969
oi6300,ECO00028,Y,0.06558,0.04685,0.71498,2.50255
nii6548,ECO00028,Y,0.08122,0.08986,-1.02000,9.59314
halpha,ECO00028,Y,2.86000,2.80620,1.08443,57.64371
nii6584,ECO00028,Y,0.24472,0.26488,-0.78915,9.58305
sii6717,ECO00028,Y,0.50761,0.36477,4.09027,14.53519
sii6731,ECO00028,Y,0.38394,0.27762,3.16327,11.42374
hbeta,ECO00029,Y,1.00000,1.00000,0.00000,77.21658
oiii4959,ECO00029,Y,1.13162,0.78839,26.22833,86.47375
oiii5007,ECO00029,Y,3.42300,2.35222,37.35697,119.42063
oi6300,ECO00029,Y,0.06869,0.03170,9.55644,17.74377
nii6548,ECO00029,Y,0.04277,0.05857,-12.08558,32.73300
halpha,ECO00029,Y,2.86000,2.80268,2.59497,129.47125
nii6584,ECO00029,Y,0.12889,0.17264,-11.09969,32.70165
sii6717,ECO00029,Y,0.31190,0.25069,9.01926,45.95955
sii6731,ECO00029,Y,0.20881,0.19107,3.29238,38.75687
hbeta,ECO00030,Y,1.00000,1.00000,0.00000,64.49611
oiii4959,ECO00030,Y,0.90269,0.68099,14.91585,60.73244
oiii5007,ECO00030,Y,2.62888,2.03179,20.39189,89.78258
oi6300,ECO00030,Y,0.06232,0.03638,4.58412,11.01325
nii6548,ECO00030,Y,0.07553,0.06997,2.68240,36.44787
halpha,ECO00030,Y,2.86000,2.80397,2.28505,116.64014
nii6584,ECO00030,Y,0.22769,0.20626,3.42925,36.42850
sii6717,ECO00030,Y,0.00000,0.28860,110.71298,-0.00000
sii6731,ECO00030,Y,0.00000,0.21984,84.33614,-0.00000
hbeta,ECO00031,Y,1.00000,1.00000,0.00000,10.16019
oiii4959,ECO00031,Y,0.25169,0.27136,-0.19403,2.48213
oiii5007,ECO00031,Y,1.14113,0.80962,2.97198,10.23038
oi6300,ECO00031,Y,0.10188,0.07969,0.31885,1.46430
nii6548,ECO00031,Y,0.18600,0.17410,0.56634,8.84755
halpha,ECO00031,Y,2.86000,2.80332,0.65936,33.27108
nii6584,ECO00031,Y,0.55983,0.51320,0.73535,8.82867
sii6717,ECO00031,Y,0.82076,0.62950,1.88471,8.08798
sii6731,ECO00031,Y,0.59353,0.47821,1.37411,7.07264
hbeta,ECO00032,Y,1.00000,1.00000,0.00000,14.28736
oiii4959,ECO00032,Y,0.43246,0.37588,0.80417,6.14650
oiii5007,ECO00032,Y,1.53434,1.12144,5.17733,19.23935
oi6300,ECO00032,Y,0.06933,0.05857,0.26594,1.71339
nii6548,ECO00032,Y,0.10782,0.11931,-0.93102,8.73134
halpha,ECO00032,Y,2.86000,2.80531,0.85750,44.84060
