Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO00339,0.00000,0.04082,0.44898,-inf,0.81633,N,Y,Y,N,0.13805,0.00374,N,N,1,0
LOGQ,ECO00339,7.01268,7.01268,7.26268,-inf,7.79840,Y,Y,Y,N,0.31020,0.00059,N,N,1,1
LOGZ,ECO00339,-0.61443,-0.67982,-0.48365,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00187,N,N,2,21
AGNFRAC,ECO00347,0.00000,0.06122,0.59184,-inf,0.89796,N,Y,Y,N,0.08978,0.00906,N,N,1,0
LOGQ,ECO00347,7.61983,7.51268,7.94126,7.40554,8.40554,Y,Y,N,N,0.00000,0.00368,N,N,1,18
LOGZ,ECO00347,-0.77791,-0.84330,-0.58174,-0.94138,-0.32018,Y,Y,N,N,0.00000,0.00002,N,N,2,16
AGNFRAC,ECO00348,0.08163,0.08163,0.67347,-inf,0.93878,Y,Y,N,N,0.06811,0.01381,N,N,1,4
LOGQ,ECO00348,7.08411,7.01268,7.22697,-inf,7.44126,Y,Y,N,N,0.23770,0.00005,N,N,1,3
LOGZ,ECO00348,-0.74521,-0.84330,-0.64713,-0.90869,-0.51635,Y,Y,N,N,0.00000,0.00010,N,N,2,17
AGNFRAC,ECO00354,0.22449,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.05352,0.01533,N,N,1,11
LOGQ,ECO00354,7.58411,7.47697,7.86983,7.36983,8.22697,Y,Y,N,N,0.00000,0.00153,N,N,1,17
LOGZ,ECO00354,-0.81060,-0.87599,-0.61443,-0.94138,-0.41826,Y,Y,N,N,0.00000,0.00003,N,N,2,15
AGNFRAC,ECO00357,0.00000,0.06122,0.57143,-inf,0.89796,N,Y,Y,N,0.09401,0.00736,N,N,1,0
