Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
halpha,ECO00027,Y,2.86000,2.79660,3.21096,144.83978
nii6584,ECO00027,Y,0.21223,0.18868,4.43504,39.97222
sii6717,ECO00027,Y,0.38804,0.37713,1.57679,56.04841
sii6731,ECO00027,Y,0.26440,0.28672,-3.31193,39.23674
hbeta,ECO00028,Y,1.00000,1.00000,0.00000,19.67070
oiii4959,ECO00028,Y,0.62319,0.53913,1.88386,13.96634
oiii5007,ECO00028,Y,1.95882,1.60853,6.09793,34.09969
oi6300,ECO00028,Y,0.06558,0.05181,0.52551,2.50255
nii6548,ECO00028,Y,0.08122,0.07247,1.03384,9.59314
halpha,ECO00028,Y,2.86000,2.79830,1.24348,57.64371
nii6584,ECO00028,Y,0.24472,0.21362,1.21786,9.58305
sii6717,ECO00028,Y,0.50761,0.42904,2.24970,14.53519
sii6731,ECO00028,Y,0.38394,0.32615,1.71938,11.42374
hbeta,ECO00029,Y,1.00000,1.00000,0.00000,77.21658
oiii4959,ECO00029,Y,1.13162,0.82924,23.10635,86.47375
oiii5007,ECO00029,Y,3.42300,2.47409,33.10515,119.42063
oi6300,ECO00029,Y,0.06869,0.03457,8.81444,17.74377
nii6548,ECO00029,Y,0.04277,0.04669,-2.99846,32.73300
halpha,ECO00029,Y,2.86000,2.79607,2.89408,129.47125
nii6584,ECO00029,Y,0.12889,0.13764,-2.21966,32.70165
sii6717,ECO00029,Y,0.31190,0.28998,3.22967,45.95955
sii6731,ECO00029,Y,0.20881,0.22060,-2.18818,38.75687
hbeta,ECO00030,Y,1.00000,1.00000,0.00000,64.49611
oiii4959,ECO00030,Y,0.90269,0.73698,11.14900,60.73244
oiii5007,ECO00030,Y,2.62888,2.19883,14.68709,89.78258
oi6300,ECO00030,Y,0.06232,0.04169,3.64652,11.01325
nii6548,ECO00030,Y,0.07553,0.06551,4.83534,36.44787
halpha,ECO00030,Y,2.86000,2.79502,2.65028,116.64014
nii6584,ECO00030,Y,0.22769,0.19311,5.53259,36.42850
sii6717,ECO00030,Y,0.00000,0.36210,138.90744,-0.00000
sii6731,ECO00030,Y,0.00000,0.27520,105.57256,-0.00000
hbeta,ECO00031,Y,1.00000,1.00000,0.00000,10.16019
oiii4959,ECO00031,Y,0.25169,0.29399,-0.41712,2.48213
oiii5007,ECO00031,Y,1.14113,0.87717,2.36643,10.23038
oi6300,ECO00031,Y,0.10188,0.07469,0.39081,1.46430
nii6548,ECO00031,Y,0.18600,0.16073,1.20196,8.84755
halpha,ECO00031,Y,2.86000,2.79683,0.73486,33.27108
nii6584,ECO00031,Y,0.55983,0.47382,1.35628,8.82867
sii6717,ECO00031,Y,0.82076,0.69818,1.20793,8.08798
